question,context,answer
能告诉我计算机中的CPU是什么的缩写？吗？,CPU是Central Processing Unit的缩写，中文称为中央处理器，是计算机的核心部件，负责执行指令和处理数据。,中央处理器
彩虹为什么是弯的？,彩虹是弯的是因为光线在水滴中发生折射、反射和色散后，只有与入射光成约42度角的方向才能被观察到，这些方向在天空中形成一个圆锥面，我们看到的是这个圆锥与地面相交的弧形。,光线在水滴中形成42度圆锥面
《西游记》中唐僧取经的目的地是哪里？,《西游记》中唐僧取经的目的地是天竺国的大雷音寺，即今天的印度地区，去取的是大乘佛教真经。,天竺国大雷音寺（印度）
四大发明包括哪些？,中国古代四大发明包括造纸术、印刷术、火药和指南针。这四项发明对中国乃至世界文明的发展产生了深远影响。,造纸术、印刷术、火药、指南针
世界上最大的沙漠是什么？,世界上最大的沙漠是撒哈拉沙漠，位于非洲北部，面积约906万平方公里，相当于整个中国的面积。,撒哈拉沙漠
关于中国历史上第一个统一的封建王朝是哪个，你了解吗？,中国历史上第一个统一的封建王朝是秦朝，由秦始皇嬴政于公元前221年建立，结束了春秋战国以来长达五百多年的分裂局面。,秦朝
四大发明包括哪些？,中国古代四大发明包括造纸术、印刷术、火药和指南针。这四项发明对中国乃至世界文明的发展产生了深远影响。,造纸术、印刷术、火药、指南针
光在真空中的传播速度是多少？,"光在真空中的传播速度约为每秒30万公里，即299,792,458米/秒，这是自然界中的极限速度。",约每秒30万公里
郑和下西洋发生在哪个朝代？,郑和下西洋发生在明朝永乐年间，从1405年到1433年，郑和先后七次率领庞大的船队出使西洋。,明朝
中国历史上第一个统一的封建王朝是哪个？,中国历史上第一个统一的封建王朝是秦朝，由秦始皇嬴政于公元前221年建立，结束了春秋战国以来长达五百多年的分裂局面。,秦朝
世界上最深的海沟是什么？,世界上最深的海沟是马里亚纳海沟，位于西太平洋，最深处约11034米，被称为挑战者深渊。,马里亚纳海沟
中国传统建筑中，屋顶的飞檐设计有什么作用？,飞檐设计有多种作用：一是扩大采光面，利于雨水排泄；二是增加建筑的美感，使屋顶线条更加灵动；三是等级象征，不同形式的飞檐代表不同的建筑等级。,扩大采光、利于排水、增加美感、等级象征
我想知道人体最大的器官是什么？,人体最大的器官是皮肤。成人皮肤总面积约1.5至2平方米，重量约占体重的16%，具有保护、调节体温、感觉等多种功能。,皮肤
唐宋八大家包括哪些人？,唐宋八大家包括唐代的韩愈、柳宗元和宋代的欧阳修、苏洵、苏轼、苏辙、王安石、曾巩。他们是唐宋时期古文运动的代表人物。,韩愈、柳宗元、欧阳修、苏洵、苏轼、苏辙、王安石、曾巩
世界上最大的沙漠是哪个？,世界上最大的沙漠是撒哈拉沙漠，位于非洲北部，面积约906万平方公里，相当于整个中国的面积。,撒哈拉沙漠
京剧的四大行当是什么？,京剧的四大行当是生、旦、净、丑。'生'指男性角色，'旦'指女性角色，'净'指花脸角色，'丑'指喜剧角色。,生、旦、净、丑
为什么冰箱门很难打开？,冰箱门难打开是因为门封条内的空气被冷却后形成低压区，外部大气压将门压紧。等内外气压平衡后，门就容易打开了。,内外气压差导致
《诗经》分为哪三个部分？,《诗经》分为风、雅、颂三个部分。'风'是各地民歌，'雅'是宫廷乐歌，'颂'是宗庙祭祀乐歌，共收录诗歌305篇。,风、雅、颂
中国传统建筑中，屋顶的飞檐设计有什么作用？,飞檐设计有多种作用：一是扩大采光面，利于雨水排泄；二是增加建筑的美感，使屋顶线条更加灵动；三是等级象征，不同形式的飞檐代表不同的建筑等级。,扩大采光、利于排水、增加美感、等级象征
人体最大的器官是什么？,人体最大的器官是皮肤。成人皮肤总面积约1.5至2平方米，重量约占体重的16%，具有保护、调节体温、感觉等多种功能。,皮肤
光在真空中的传播速度是多少？,"光在真空中的传播速度约为每秒30万公里，即299,792,458米/秒，这是自然界中的极限速度。",约每秒30万公里
一天喝多少水比较合适？,成年人每天建议饮水1500至2000毫升，约7至8杯。具体需求量因个人体质、活动量和气候条件而异，运动或炎热天气应适当增加。,1500至2000毫升
中国最大的岛屿是哪个？,中国最大的岛屿是台湾岛，面积约3.6万平方公里。其次是海南岛，面积约3.4万平方公里。,台湾岛
北极和南极哪个更冷？,南极更冷。南极大陆的平均气温约为零下49摄氏度，而北极地区的平均气温约为零下18摄氏度。,南极
《西游记》中唐僧取经的目的地是哪里？,《西游记》中唐僧取经的目的地是天竺国的大雷音寺，即今天的印度地区，去取的是大乘佛教真经。,天竺国大雷音寺（印度）
能告诉我为什么天空是蓝色的？吗？,天空呈现蓝色是因为瑞利散射。太阳光中的蓝光波长较短，更容易被大气分子散射到各个方向，所以我们看到的天空是蓝色的。,瑞利散射使蓝光被散射
《西游记》中唐僧取经的目的地是哪里？,《西游记》中唐僧取经的目的地是天竺国的大雷音寺，即今天的印度地区，去取的是大乘佛教真经。,天竺国大雷音寺（印度）
人体最大的器官是什么？,人体最大的器官是皮肤。成人皮肤总面积约1.5至2平方米，重量约占体重的16%，具有保护、调节体温、感觉等多种功能。,皮肤
唐朝的开国皇帝是谁？,唐朝的开国皇帝是李渊，即唐高祖。他于公元618年在长安称帝，建立唐朝。,李渊
贝多芬是哪国作曲家？,贝多芬是德国作曲家，维也纳古典乐派代表人物之一。他在耳聋的情况下创作了大量不朽作品，如《命运交响曲》《月光奏鸣曲》等。,德国
世界上最深的海沟指的是什么？,世界上最深的海沟是马里亚纳海沟，位于西太平洋，最深处约11034米，被称为挑战者深渊。,马里亚纳海沟
DNA的中文全称是什么？,DNA的中文全称是脱氧核糖核酸，它是生物体内存储遗传信息的重要分子，由两条互补的核苷酸链组成双螺旋结构。,脱氧核糖核酸
彩虹为什么是弯的？,彩虹是弯的是因为光线在水滴中发生折射、反射和色散后，只有与入射光成约42度角的方向才能被观察到，这些方向在天空中形成一个圆锥面，我们看到的是这个圆锥与地面相交的弧形。,光线在水滴中形成42度圆锥面
唐宋八大家包括哪些人？,唐宋八大家包括唐代的韩愈、柳宗元和宋代的欧阳修、苏洵、苏轼、苏辙、王安石、曾巩。他们是唐宋时期古文运动的代表人物。,韩愈、柳宗元、欧阳修、苏洵、苏轼、苏辙、王安石、曾巩
什么是温室效应？,温室效应是指大气中的温室气体（如二氧化碳、甲烷等）吸收地面辐射的热量，使地球表面温度升高的现象。适度的温室效应使地球保持适宜温度，但过度增强会导致全球变暖。,大气中温室气体吸收热量导致温度升高的现象
《诗经》分为哪三个部分？,《诗经》分为风、雅、颂三个部分。'风'是各地民歌，'雅'是宫廷乐歌，'颂'是宗庙祭祀乐歌，共收录诗歌305篇。,风、雅、颂
为什么天空是蓝色的？,天空呈现蓝色是因为瑞利散射。太阳光中的蓝光波长较短，更容易被大气分子散射到各个方向，所以我们看到的天空是蓝色的。,瑞利散射使蓝光被散射
中国历史上第一个统一的封建王朝是哪个？,中国历史上第一个统一的封建王朝是秦朝，由秦始皇嬴政于公元前221年建立，结束了春秋战国以来长达五百多年的分裂局面。,秦朝
一天喝多少水比较合适？,成年人每天建议饮水1500至2000毫升，约7至8杯。具体需求量因个人体质、活动量和气候条件而异，运动或炎热天气应适当增加。,1500至2000毫升
我想知道中国传统建筑中，屋顶的飞檐设计有什么作用？,飞檐设计有多种作用：一是扩大采光面，利于雨水排泄；二是增加建筑的美感，使屋顶线条更加灵动；三是等级象征，不同形式的飞檐代表不同的建筑等级。,扩大采光、利于排水、增加美感、等级象征
请问长江的全长约多少公里？,长江是中国第一大河，也是亚洲第一长河，全长约6300公里，流经青海、西藏、四川、云南、重庆等11个省市区。,约6300公里
关于为什么天空是蓝色的，你了解吗？,天空呈现蓝色是因为瑞利散射。太阳光中的蓝光波长较短，更容易被大气分子散射到各个方向，所以我们看到的天空是蓝色的。,瑞利散射使蓝光被散射
我想知道人体最大的器官是什么？,人体最大的器官是皮肤。成人皮肤总面积约1.5至2平方米，重量约占体重的16%，具有保护、调节体温、感觉等多种功能。,皮肤
鲁迅的原名是什么？,鲁迅的原名是周树人，字豫才，浙江绍兴人。他是中国现代文学的奠基人之一，代表作有《狂人日记》《阿Q正传》等。,周树人
为什么天空是蓝色的？,天空呈现蓝色是因为瑞利散射。太阳光中的蓝光波长较短，更容易被大气分子散射到各个方向，所以我们看到的天空是蓝色的。,瑞利散射使蓝光被散射
北极和南极哪个更冷？,南极更冷。南极大陆的平均气温约为零下49摄氏度，而北极地区的平均气温约为零下18摄氏度。,南极
什么是温室效应？,温室效应是指大气中的温室气体（如二氧化碳、甲烷等）吸收地面辐射的热量，使地球表面温度升高的现象。适度的温室效应使地球保持适宜温度，但过度增强会导致全球变暖。,大气中温室气体吸收热量导致温度升高的现象
一天喝多少水比较合适？,成年人每天建议饮水1500至2000毫升，约7至8杯。具体需求量因个人体质、活动量和气候条件而异，运动或炎热天气应适当增加。,1500至2000毫升
光在真空中的传播速度是多少？,"光在真空中的传播速度约为每秒30万公里，即299,792,458米/秒，这是自然界中的极限速度。",约每秒30万公里
芭蕾舞起源于哪个国家？,芭蕾舞起源于文艺复兴时期的意大利，后在法国宫廷得到发展，最终在俄罗斯达到艺术巅峰。,意大利
世界上最深的海沟是什么？,世界上最深的海沟是马里亚纳海沟，位于西太平洋，最深处约11034米，被称为挑战者深渊。,马里亚纳海沟
我想知道什么是温室效应？,温室效应是指大气中的温室气体（如二氧化碳、甲烷等）吸收地面辐射的热量，使地球表面温度升高的现象。适度的温室效应使地球保持适宜温度，但过度增强会导致全球变暖。,大气中温室气体吸收热量导致温度升高的现象
世界上最大的沙漠是哪个？,世界上最大的沙漠是撒哈拉沙漠，位于非洲北部，面积约906万平方公里，相当于整个中国的面积。,撒哈拉沙漠
世界上最大的沙漠是哪个？,世界上最大的沙漠是撒哈拉沙漠，位于非洲北部，面积约906万平方公里，相当于整个中国的面积。,撒哈拉沙漠
彩虹为什么是弯的？,彩虹是弯的是因为光线在水滴中发生折射、反射和色散后，只有与入射光成约42度角的方向才能被观察到，这些方向在天空中形成一个圆锥面，我们看到的是这个圆锥与地面相交的弧形。,光线在水滴中形成42度圆锥面
世界上最大的沙漠是什么？,世界上最大的沙漠是撒哈拉沙漠，位于非洲北部，面积约906万平方公里，相当于整个中国的面积。,撒哈拉沙漠
《诗经》分为哪三个部分？,《诗经》分为风、雅、颂三个部分。'风'是各地民歌，'雅'是宫廷乐歌，'颂'是宗庙祭祀乐歌，共收录诗歌305篇。,风、雅、颂
请问中国历史上第一个统一的封建王朝是哪个？,中国历史上第一个统一的封建王朝是秦朝，由秦始皇嬴政于公元前221年建立，结束了春秋战国以来长达五百多年的分裂局面。,秦朝
四大发明包括哪些？,中国古代四大发明包括造纸术、印刷术、火药和指南针。这四项发明对中国乃至世界文明的发展产生了深远影响。,造纸术、印刷术、火药、指南针
世界上最深的海沟指的是什么？,世界上最深的海沟是马里亚纳海沟，位于西太平洋，最深处约11034米，被称为挑战者深渊。,马里亚纳海沟
彩虹为什么是弯的？,彩虹是弯的是因为光线在水滴中发生折射、反射和色散后，只有与入射光成约42度角的方向才能被观察到，这些方向在天空中形成一个圆锥面，我们看到的是这个圆锥与地面相交的弧形。,光线在水滴中形成42度圆锥面
我想知道唐宋八大家包括哪些人？,唐宋八大家包括唐代的韩愈、柳宗元和宋代的欧阳修、苏洵、苏轼、苏辙、王安石、曾巩。他们是唐宋时期古文运动的代表人物。,韩愈、柳宗元、欧阳修、苏洵、苏轼、苏辙、王安石、曾巩
长江的全长约多少公里？,长江是中国第一大河，也是亚洲第一长河，全长约6300公里，流经青海、西藏、四川、云南、重庆等11个省市区。,约6300公里
中国最大的岛屿是什么？,中国最大的岛屿是台湾岛，面积约3.6万平方公里。其次是海南岛，面积约3.4万平方公里。,台湾岛
WiFi使用的是什么类型的电磁波？,WiFi使用的是无线电波中的微波频段，常见的2.4GHz和5GHz都属于微波范围，属于非电离辐射。,微波/无线电波
贝多芬是哪国作曲家？,贝多芬是德国作曲家，维也纳古典乐派代表人物之一。他在耳聋的情况下创作了大量不朽作品，如《命运交响曲》《月光奏鸣曲》等。,德国
中国最大的岛屿是哪个？,中国最大的岛屿是台湾岛，面积约3.6万平方公里。其次是海南岛，面积约3.4万平方公里。,台湾岛
我想知道芭蕾舞起源于哪个国家？,芭蕾舞起源于文艺复兴时期的意大利，后在法国宫廷得到发展，最终在俄罗斯达到艺术巅峰。,意大利
关于《西游记》中唐僧取经的目的地是哪里，你了解吗？,《西游记》中唐僧取经的目的地是天竺国的大雷音寺，即今天的印度地区，去取的是大乘佛教真经。,天竺国大雷音寺（印度）
能告诉我鲁迅的原名是什么？吗？,鲁迅的原名是周树人，字豫才，浙江绍兴人。他是中国现代文学的奠基人之一，代表作有《狂人日记》《阿Q正传》等。,周树人
贝多芬是哪国作曲家？,贝多芬是德国作曲家，维也纳古典乐派代表人物之一。他在耳聋的情况下创作了大量不朽作品，如《命运交响曲》《月光奏鸣曲》等。,德国
DNA的中文全称是什么？,DNA的中文全称是脱氧核糖核酸，它是生物体内存储遗传信息的重要分子，由两条互补的核苷酸链组成双螺旋结构。,脱氧核糖核酸
请问《西游记》中唐僧取经的目的地是哪里？,《西游记》中唐僧取经的目的地是天竺国的大雷音寺，即今天的印度地区，去取的是大乘佛教真经。,天竺国大雷音寺（印度）
我想知道一天喝多少水比较合适？,成年人每天建议饮水1500至2000毫升，约7至8杯。具体需求量因个人体质、活动量和气候条件而异，运动或炎热天气应适当增加。,1500至2000毫升
京剧的四大行当是什么？,京剧的四大行当是生、旦、净、丑。'生'指男性角色，'旦'指女性角色，'净'指花脸角色，'丑'指喜剧角色。,生、旦、净、丑
中国传统建筑中，屋顶的飞檐设计有什么作用？,飞檐设计有多种作用：一是扩大采光面，利于雨水排泄；二是增加建筑的美感，使屋顶线条更加灵动；三是等级象征，不同形式的飞檐代表不同的建筑等级。,扩大采光、利于排水、增加美感、等级象征
世界上最大的沙漠是哪个？,世界上最大的沙漠是撒哈拉沙漠，位于非洲北部，面积约906万平方公里，相当于整个中国的面积。,撒哈拉沙漠
世界上最深的海沟是什么？,世界上最深的海沟是马里亚纳海沟，位于西太平洋，最深处约11034米，被称为挑战者深渊。,马里亚纳海沟
《诗经》分为哪三个部分？,《诗经》分为风、雅、颂三个部分。'风'是各地民歌，'雅'是宫廷乐歌，'颂'是宗庙祭祀乐歌，共收录诗歌305篇。,风、雅、颂
《诗经》分为哪三个部分？,《诗经》分为风、雅、颂三个部分。'风'是各地民歌，'雅'是宫廷乐歌，'颂'是宗庙祭祀乐歌，共收录诗歌305篇。,风、雅、颂
我想知道贝多芬是哪国作曲家？,贝多芬是德国作曲家，维也纳古典乐派代表人物之一。他在耳聋的情况下创作了大量不朽作品，如《命运交响曲》《月光奏鸣曲》等。,德国
人体最大的器官是什么？,人体最大的器官是皮肤。成人皮肤总面积约1.5至2平方米，重量约占体重的16%，具有保护、调节体温、感觉等多种功能。,皮肤
长江的全长约多少公里？,长江是中国第一大河，也是亚洲第一长河，全长约6300公里，流经青海、西藏、四川、云南、重庆等11个省市区。,约6300公里
关于贝多芬是哪国作曲家，你了解吗？,贝多芬是德国作曲家，维也纳古典乐派代表人物之一。他在耳聋的情况下创作了大量不朽作品，如《命运交响曲》《月光奏鸣曲》等。,德国
世界上最大的沙漠是哪个？,世界上最大的沙漠是撒哈拉沙漠，位于非洲北部，面积约906万平方公里，相当于整个中国的面积。,撒哈拉沙漠
请问为什么冰箱门很难打开？,冰箱门难打开是因为门封条内的空气被冷却后形成低压区，外部大气压将门压紧。等内外气压平衡后，门就容易打开了。,内外气压差导致
世界上最深的海沟是什么？,世界上最深的海沟是马里亚纳海沟，位于西太平洋，最深处约11034米，被称为挑战者深渊。,马里亚纳海沟
贝多芬是哪国作曲家？,贝多芬是德国作曲家，维也纳古典乐派代表人物之一。他在耳聋的情况下创作了大量不朽作品，如《命运交响曲》《月光奏鸣曲》等。,德国
北极和南极哪个更冷？,南极更冷。南极大陆的平均气温约为零下49摄氏度，而北极地区的平均气温约为零下18摄氏度。,南极
中国最大的岛屿是哪个？,中国最大的岛屿是台湾岛，面积约3.6万平方公里。其次是海南岛，面积约3.4万平方公里。,台湾岛
郑和下西洋发生在哪个朝代？,郑和下西洋发生在明朝永乐年间，从1405年到1433年，郑和先后七次率领庞大的船队出使西洋。,明朝
中国最大的岛屿是哪个？,中国最大的岛屿是台湾岛，面积约3.6万平方公里。其次是海南岛，面积约3.4万平方公里。,台湾岛
世界上最大的沙漠是哪个？,世界上最大的沙漠是撒哈拉沙漠，位于非洲北部，面积约906万平方公里，相当于整个中国的面积。,撒哈拉沙漠
请问辛亥革命发生于哪一年？,辛亥革命发生于1911年，这次革命推翻了清朝统治，结束了中国两千多年的封建帝制。,1911年
我想知道为什么冰箱门很难打开？,冰箱门难打开是因为门封条内的空气被冷却后形成低压区，外部大气压将门压紧。等内外气压平衡后，门就容易打开了。,内外气压差导致
关于鲁迅的原名是什么，你了解吗？,鲁迅的原名是周树人，字豫才，浙江绍兴人。他是中国现代文学的奠基人之一，代表作有《狂人日记》《阿Q正传》等。,周树人
中国最大的岛屿是什么？,中国最大的岛屿是台湾岛，面积约3.6万平方公里。其次是海南岛，面积约3.4万平方公里。,台湾岛
《西游记》中唐僧取经的目的地是哪里？,《西游记》中唐僧取经的目的地是天竺国的大雷音寺，即今天的印度地区，去取的是大乘佛教真经。,天竺国大雷音寺（印度）
彩虹为什么是弯的？,彩虹是弯的是因为光线在水滴中发生折射、反射和色散后，只有与入射光成约42度角的方向才能被观察到，这些方向在天空中形成一个圆锥面，我们看到的是这个圆锥与地面相交的弧形。,光线在水滴中形成42度圆锥面
郑和下西洋发生在哪个朝代？,郑和下西洋发生在明朝永乐年间，从1405年到1433年，郑和先后七次率领庞大的船队出使西洋。,明朝
中国传统建筑中，屋顶的飞檐设计有什么作用？,飞檐设计有多种作用：一是扩大采光面，利于雨水排泄；二是增加建筑的美感，使屋顶线条更加灵动；三是等级象征，不同形式的飞檐代表不同的建筑等级。,扩大采光、利于排水、增加美感、等级象征
芭蕾舞起源于哪个国家？,芭蕾舞起源于文艺复兴时期的意大利，后在法国宫廷得到发展，最终在俄罗斯达到艺术巅峰。,意大利
人体最大的器官是什么？,人体最大的器官是皮肤。成人皮肤总面积约1.5至2平方米，重量约占体重的16%，具有保护、调节体温、感觉等多种功能。,皮肤
DNA的中文全称是什么？,DNA的中文全称是脱氧核糖核酸，它是生物体内存储遗传信息的重要分子，由两条互补的核苷酸链组成双螺旋结构。,脱氧核糖核酸
光在真空中的传播速度是多少？,"光在真空中的传播速度约为每秒30万公里，即299,792,458米/秒，这是自然界中的极限速度。",约每秒30万公里
唐宋八大家包括哪些人？,唐宋八大家包括唐代的韩愈、柳宗元和宋代的欧阳修、苏洵、苏轼、苏辙、王安石、曾巩。他们是唐宋时期古文运动的代表人物。,韩愈、柳宗元、欧阳修、苏洵、苏轼、苏辙、王安石、曾巩
请问中国传统建筑中，屋顶的飞檐设计有什么作用？,飞檐设计有多种作用：一是扩大采光面，利于雨水排泄；二是增加建筑的美感，使屋顶线条更加灵动；三是等级象征，不同形式的飞檐代表不同的建筑等级。,扩大采光、利于排水、增加美感、等级象征
为什么天空是蓝色的？,天空呈现蓝色是因为瑞利散射。太阳光中的蓝光波长较短，更容易被大气分子散射到各个方向，所以我们看到的天空是蓝色的。,瑞利散射使蓝光被散射
中国历史上第一个统一的封建王朝是哪个？,中国历史上第一个统一的封建王朝是秦朝，由秦始皇嬴政于公元前221年建立，结束了春秋战国以来长达五百多年的分裂局面。,秦朝
关于芭蕾舞起源于哪个国家，你了解吗？,芭蕾舞起源于文艺复兴时期的意大利，后在法国宫廷得到发展，最终在俄罗斯达到艺术巅峰。,意大利
贝多芬是哪国作曲家？,贝多芬是德国作曲家，维也纳古典乐派代表人物之一。他在耳聋的情况下创作了大量不朽作品，如《命运交响曲》《月光奏鸣曲》等。,德国
计算机中的CPU是什么的缩写？,CPU是Central Processing Unit的缩写，中文称为中央处理器，是计算机的核心部件，负责执行指令和处理数据。,中央处理器
《西游记》中唐僧取经的目的地是哪里？,《西游记》中唐僧取经的目的地是天竺国的大雷音寺，即今天的印度地区，去取的是大乘佛教真经。,天竺国大雷音寺（印度）
《三国演义》的作者是谁？,《三国演义》的作者是元末明初小说家罗贯中，是中国第一部长篇章回体历史演义小说，描写了从东汉末年到西晋初年近百年的历史风云。,罗贯中
郑和下西洋发生在哪个朝代？,郑和下西洋发生在明朝永乐年间，从1405年到1433年，郑和先后七次率领庞大的船队出使西洋。,明朝
长江的全长约多少公里？,长江是中国第一大河，也是亚洲第一长河，全长约6300公里，流经青海、西藏、四川、云南、重庆等11个省市区。,约6300公里
光在真空中的传播速度是多少？,"光在真空中的传播速度约为每秒30万公里，即299,792,458米/秒，这是自然界中的极限速度。",约每秒30万公里
能告诉我什么是温室效应？吗？,温室效应是指大气中的温室气体（如二氧化碳、甲烷等）吸收地面辐射的热量，使地球表面温度升高的现象。适度的温室效应使地球保持适宜温度，但过度增强会导致全球变暖。,大气中温室气体吸收热量导致温度升高的现象
唐朝的开国皇帝是谁？,唐朝的开国皇帝是李渊，即唐高祖。他于公元618年在长安称帝，建立唐朝。,李渊
请问DNA的中文全称是什么？,DNA的中文全称是脱氧核糖核酸，它是生物体内存储遗传信息的重要分子，由两条互补的核苷酸链组成双螺旋结构。,脱氧核糖核酸
鲁迅的原名是什么？,鲁迅的原名是周树人，字豫才，浙江绍兴人。他是中国现代文学的奠基人之一，代表作有《狂人日记》《阿Q正传》等。,周树人
世界上最大的沙漠是哪个？,世界上最大的沙漠是撒哈拉沙漠，位于非洲北部，面积约906万平方公里，相当于整个中国的面积。,撒哈拉沙漠
WiFi使用的是什么类型的电磁波？,WiFi使用的是无线电波中的微波频段，常见的2.4GHz和5GHz都属于微波范围，属于非电离辐射。,微波/无线电波
唐朝的开国皇帝是谁？,唐朝的开国皇帝是李渊，即唐高祖。他于公元618年在长安称帝，建立唐朝。,李渊
《三国演义》的作者是谁？,《三国演义》的作者是元末明初小说家罗贯中，是中国第一部长篇章回体历史演义小说，描写了从东汉末年到西晋初年近百年的历史风云。,罗贯中
鲁迅的原名是什么？,鲁迅的原名是周树人，字豫才，浙江绍兴人。他是中国现代文学的奠基人之一，代表作有《狂人日记》《阿Q正传》等。,周树人
请问郑和下西洋发生在哪个朝代？,郑和下西洋发生在明朝永乐年间，从1405年到1433年，郑和先后七次率领庞大的船队出使西洋。,明朝
贝多芬是哪国作曲家？,贝多芬是德国作曲家，维也纳古典乐派代表人物之一。他在耳聋的情况下创作了大量不朽作品，如《命运交响曲》《月光奏鸣曲》等。,德国
世界上最大的沙漠是哪个？,世界上最大的沙漠是撒哈拉沙漠，位于非洲北部，面积约906万平方公里，相当于整个中国的面积。,撒哈拉沙漠
辛亥革命发生于哪一年？,辛亥革命发生于1911年，这次革命推翻了清朝统治，结束了中国两千多年的封建帝制。,1911年
一天喝多少水比较合适？,成年人每天建议饮水1500至2000毫升，约7至8杯。具体需求量因个人体质、活动量和气候条件而异，运动或炎热天气应适当增加。,1500至2000毫升
世界上最深的海沟是什么？,世界上最深的海沟是马里亚纳海沟，位于西太平洋，最深处约11034米，被称为挑战者深渊。,马里亚纳海沟
DNA的中文全称是什么？,DNA的中文全称是脱氧核糖核酸，它是生物体内存储遗传信息的重要分子，由两条互补的核苷酸链组成双螺旋结构。,脱氧核糖核酸
《诗经》分为哪三个部分？,《诗经》分为风、雅、颂三个部分。'风'是各地民歌，'雅'是宫廷乐歌，'颂'是宗庙祭祀乐歌，共收录诗歌305篇。,风、雅、颂
唐朝的开国皇帝是谁？,唐朝的开国皇帝是李渊，即唐高祖。他于公元618年在长安称帝，建立唐朝。,李渊
请问芭蕾舞起源于哪个国家？,芭蕾舞起源于文艺复兴时期的意大利，后在法国宫廷得到发展，最终在俄罗斯达到艺术巅峰。,意大利
人体最大的器官是什么？,人体最大的器官是皮肤。成人皮肤总面积约1.5至2平方米，重量约占体重的16%，具有保护、调节体温、感觉等多种功能。,皮肤
京剧的四大行当是什么？,京剧的四大行当是生、旦、净、丑。'生'指男性角色，'旦'指女性角色，'净'指花脸角色，'丑'指喜剧角色。,生、旦、净、丑
贝多芬是哪国作曲家？,贝多芬是德国作曲家，维也纳古典乐派代表人物之一。他在耳聋的情况下创作了大量不朽作品，如《命运交响曲》《月光奏鸣曲》等。,德国
芭蕾舞起源于哪个国家？,芭蕾舞起源于文艺复兴时期的意大利，后在法国宫廷得到发展，最终在俄罗斯达到艺术巅峰。,意大利
四大发明包括哪些？,中国古代四大发明包括造纸术、印刷术、火药和指南针。这四项发明对中国乃至世界文明的发展产生了深远影响。,造纸术、印刷术、火药、指南针
我想知道唐朝的开国皇帝是谁？,唐朝的开国皇帝是李渊，即唐高祖。他于公元618年在长安称帝，建立唐朝。,李渊
唐朝的开国皇帝是谁？,唐朝的开国皇帝是李渊，即唐高祖。他于公元618年在长安称帝，建立唐朝。,李渊
世界上最大的沙漠是哪个？,世界上最大的沙漠是撒哈拉沙漠，位于非洲北部，面积约906万平方公里，相当于整个中国的面积。,撒哈拉沙漠
